               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10038,            0.032831,                   0,           0.0054167,             0.48148,           0.0071391,           0.0021908,            0.091934,            0.026778,                   0,              0.0856,              0.0016,              0.0016
                   1,            0.093956,            0.038525,                   0,               0.005,             0.44444,           0.0039637,           0.0013695,            0.092068,            0.026729,                   0,            0.070292,           0.0032918,           0.0032918
                   2,            0.092139,            0.037224,                   0,           0.0034722,             0.30864,           0.0032869,          0.00087111,            0.092304,            0.026608,                   0,            0.054975,           0.0049752,           0.0049752
                   3,            0.089255,            0.037122,                   0,           0.0036111,             0.32099,           0.0033996,          0.00086706,            0.092922,            0.026394,                   0,             0.03965,           0.0066503,           0.0066503
                   4,             0.08649,            0.038651,                   0,           0.0033333,              0.2963,           0.0026376,          0.00075347,            0.094216,             0.02596,                   0,            0.024317,           0.0083168,           0.0083168
                   5,             0.08889,             0.04139,                   0,           0.0033333,              0.2963,           0.0027277,          0.00062515,            0.094544,            0.025848,                   0,           0.0098763,           0.0098763,           0.0098763
                   6,            0.086134,            0.041328,                   0,           0.0036111,             0.32099,           0.0030979,          0.00079757,            0.093933,            0.026036,                   0,           0.0098763,           0.0098763,           0.0098763
                   7,            0.086091,            0.039734,                   0,           0.0034722,             0.30864,            0.007108,           0.0018569,               0.091,            0.026823,                   0,           0.0098515,           0.0098515,           0.0098515
                   8,             0.08319,            0.038445,                   0,           0.0041667,             0.37037,            0.012522,           0.0030636,            0.088975,            0.027231,                   0,           0.0098268,           0.0098268,           0.0098268
                   9,             0.08411,             0.04118,                   0,            0.010002,             0.49383,            0.027463,           0.0067472,            0.080329,            0.029445,                   0,            0.009802,            0.009802,            0.009802
                  10,            0.080917,            0.038701,                   0,           0.0068346,             0.60494,            0.020239,           0.0065103,            0.078209,            0.029913,                   0,           0.0097773,           0.0097773,           0.0097773
                  11,            0.079035,            0.039924,                   0,            0.042302,              0.4321,            0.041533,            0.012656,            0.074867,              0.0306,                   0,           0.0097525,           0.0097525,           0.0097525
                  12,             0.07833,            0.039971,                   0,           0.0068056,             0.60494,            0.036799,           0.0090992,            0.072369,            0.031509,                   0,           0.0097278,           0.0097278,           0.0097278
                  13,            0.081073,            0.038501,                   0,            0.012694,             0.55556,            0.055081,            0.014901,            0.071731,            0.031051,                   0,            0.009703,            0.009703,            0.009703
                  14,            0.079978,            0.037894,                   0,            0.091588,             0.25926,            0.086319,            0.025085,            0.072864,             0.02995,                   0,           0.0096783,           0.0096783,           0.0096783
                  15,            0.075002,            0.040845,                   0,             0.11105,             0.11111,            0.047536,            0.013433,            0.079154,            0.027473,                   0,           0.0096535,           0.0096535,           0.0096535
                  16,            0.075156,            0.040612,                   0,             0.20872,             0.23457,            0.096908,            0.027967,            0.072593,            0.027852,                   0,           0.0096288,           0.0096288,           0.0096288
                  17,            0.072695,            0.040745,                   0,             0.21127,             0.24691,             0.13535,            0.041717,            0.068269,            0.028821,                   0,            0.009604,            0.009604,            0.009604
                  18,            0.074748,            0.036962,                   0,             0.16734,             0.25926,            0.089654,             0.02438,            0.068424,            0.029215,                   0,           0.0095793,           0.0095793,           0.0095793
                  19,            0.072838,            0.037802,                   0,             0.14795,             0.20988,            0.078679,            0.023844,            0.081896,            0.024152,                   0,           0.0095545,           0.0095545,           0.0095545
                  20,            0.072247,            0.041445,                   0,             0.24454,             0.33333,              0.1586,            0.053995,            0.066633,            0.027654,                   0,           0.0095298,           0.0095298,           0.0095298
                  21,            0.070675,            0.035651,                   0,             0.17725,             0.19753,            0.082781,            0.023939,            0.076347,            0.026354,                   0,            0.009505,            0.009505,            0.009505
                  22,            0.071304,            0.035265,                   0,            0.048768,              0.3209,            0.027223,            0.008814,            0.074535,            0.043114,                   0,           0.0094803,           0.0094803,           0.0094803
                  23,            0.071595,            0.038695,                   0,             0.16083,              0.2721,             0.10732,            0.033834,            0.076015,            0.026913,                   0,           0.0094555,           0.0094555,           0.0094555
                  24,            0.068829,            0.035146,                   0,             0.17914,              0.2963,             0.10625,            0.032775,            0.077695,            0.026606,                   0,           0.0094307,           0.0094307,           0.0094307
